Iteration,Cohort,Sex,AFR
95,8,F,9.16734478739236
96,8,F,9.88928068936468
97,8,F,9.0091194119855
98,8,F,9.13982853685192
99,8,F,8.88298391141578
100,8,F,9.17874949496112
1,9,F,9.29348646256725
2,9,F,9.32149034976629
3,9,F,9.17641830855844
4,9,F,9.02231085140123
5,9,F,9.23203218017935
6,9,F,9.04688651003061
7,9,F,9.06073046110212
8,9,F,8.72990441020975
9,9,F,9.02761906126057
10,9,F,9.14443003769369
11,9,F,9.09048581629097
12,9,F,9.07139602268994
13,9,F,8.82384204387013
14,9,F,9.20859974038967
15,9,F,9.0398531192685
16,9,F,9.51486294936401
17,9,F,9.12737145533789
18,9,F,9.09494269994857
19,9,F,9.10261235867567
20,9,F,9.28193289051977
21,9,F,8.92081646498418
22,9,F,9.04965623518986
23,9,F,9.08832706387721
24,9,F,8.88119221302711
25,9,F,9.11054464041228
26,9,F,9.24141294621305
27,9,F,9.32107943166878
28,9,F,9.29920664596478
29,9,F,9.23109302070828
30,9,F,9.18483506064383
31,9,F,9.19799274971483
32,9,F,8.85494622427859
33,9,F,9.33404549332995
34,9,F,9.09080476502937
35,9,F,9.21667351417101
36,9,F,9.18248466974549
37,9,F,9.12458890938613
38,9,F,9.08138954279838
39,9,F,8.90874684615524
40,9,F,9.42663662610187
41,9,F,9.14629883603286
42,9,F,9.45080135847337
43,9,F,9.09578145096781
44,9,F,8.83246218385329
45,9,F,9.31160832564474
46,9,F,9.05161607149483
47,9,F,9.04999694259416
48,9,F,9.25006581513671
49,9,F,8.97058721277346
50,9,F,9.22236142734237
51,9,F,9.22981337714129
52,9,F,9.04200110732783
53,9,F,8.88535936962868
54,9,F,9.26157678289826
55,9,F,9.18045270111726
56,9,F,8.94633563694057
57,9,F,9.12582496873832
58,9,F,8.85488432072941
59,9,F,8.8854127574907
60,9,F,9.21635405851727
61,9,F,9.14194288407393
62,9,F,9.20400575498822
63,9,F,9.53189700549162
64,9,F,9.07902734251198
65,9,F,8.94625749165605
66,9,F,9.12493815153382
67,9,F,9.13971931506857
68,9,F,9.00534231337972
69,9,F,8.93342716405583
70,9,F,9.5835514365061
71,9,F,8.98643959901795
72,9,F,8.98553515465882
73,9,F,9.15902029403363
74,9,F,8.9254929517437
75,9,F,9.28897214807001
76,9,F,8.75409547144609
77,9,F,9.22550927236288
78,9,F,9.15194048137348
79,9,F,9.05439434585366
